PACCHETTI BRANDING / IDENTITÀ,,,,,PACCHETTI WEB / DIGITAL,,,,,,,,PACCHETTI SOCIAL MEDIA ,,,EVENTI ,,,,FASHION - MUSIC ,,,,CORPORATE ,,,,COMMERCIAL ADV,,,,8. PACCHETTI PODCAST,,,PACCHETTI PERSONAL BRANDING,,,PACCHETTI SPORT / TEAM / ATLETI,,,,,,PACCHETTI ARTISTI / MUSICA / CREATOR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Identity Start,Brand Identity Pro,Brand Identity Premium,Rebranding,Rebranding Pro,Website Start,Website Pro,Website Premium,E-commerce Start,E-commerce Pro,E-commerce Premium,Landing Campaign,Landing Campaign Pro,Social Start,Social Pro,Social Premium,Video Start, Video Pro ,Video Premium ,Video Luxury,Video Start, Video Pro ,Video Premium ,Video Luxury,Video Start, Video Pro ,Video Premium ,Video Luxury,Video Start, Video Pro ,Video Premium ,Video Luxury,Podcast Start,Podcast Pro,Podcast Premium,Personal Brand Start,Personal Brand Pro ,Personal Brand Premium,Sport Brand Start,Sport Brand Pro ,Sport Brand Premium ,TEAM Brand Start,TEAM Brand Pro,Team Brand Premium,Artist Brand Start,Artist Brand Pro,Artist Team Premium
ANALISI,ANALISI,ANALISI STRATEGICA,AUDIT,STRATEGIA,Struttura,Analisi,Analisi Strategica,Struttura,Analisi,Analisi Strategica,Landing,Strategia,Analisi,Analisi,Analisi Strategica,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Pre-Produzione,Analisi,Analisi,Analisi,Analisi,Analisi,Analisi,Analisi,Analisi,Analisi,Analisi,Analisi,Analisi
Brief iniziale,Tutto Start,Tutto Pro,Brief,Tutto Rebranding,Landing page / One-page website,Tutto Website Start,Tutto Website Pro,Landing / One Page,Tutto Start,Tutto Pro,Landing Page,Workshop,Brief iniziale,Tutto Start,Tutto Pro,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Brief iniziale,Ideazione concept con il cliente,Ideazione concept,Brief iniziale,Tutto Start,Tutto Pro,Brief,Tutto Start,Tutto Start,Brief iniziale,Tutto Start,Workshop società,Brief iniziale,Tutto Start,Workshop creativo
Analisi dell'attività,Analisi Brand approfondita,Workshop Strategico,Audit Brand,Audit Comunicazione Completo,Responsive Design,Analisi competitor,Workshop iniziale,Catalogo prodotti,Analisi catalogo,UX Analysis,Copywriting,Funnel Design,Analisi attività,Analisi competitor avanzata,Workshop,Pianificazione riprese,Pianificazione riprese,Scrittura creativa,Concept creativo,Pianificazione riprese,Pianificazione riprese,Scrittura creativa,Concept creativo,Pianificazione riprese,Pianificazione riprese,Scrittura creativa,Concept creativo,Pianificazione riprese,Pianificazione riprese,Scrittura creativa,Concept creativo,Pianificazione puntata,Pianificazione stagione,Concept creativo,Analisi profilo,Analisi competitor,Workshop,Analisi atleta,Analisi sponsor,Analisi sponsor,Analisi società / squadra,Analisi competitor,Posizionamento,Analisi progetto artistico,Analisi competitor,Strategia annuale
Analisi del settore,Analisi Competitor,Workshop Team,Audit Comunicazione,Analisi Competitor Avanzata,Navigazione base,Architettura del sito,UX Analysis,Schede prodotto,,Customer Journey,CTA,Strategia Lead Generation,Analisi competitor base,Studio benchmark,Analisi Brand,,Shot List,Pianificazione riprese,Scrittura creativa,,Shot List,Pianificazione riprese,Scrittura creativa,,Shot List,Pianificazione riprese,Scrittura creativa,,Shot List,Pianificazione riprese,Scrittura creativa,Scaletta episodio,Realizzazione grafiche,Production Design,Definizione obiettivi,Analisi personal brand,Posizionamento,Definizione obiettivi,Analisi competitor,Analisi competitor,Definizione obiettivi,Analisi tifoseria,Strategia annuale,Posizionamento,Analisi piattaforme,Piano release
Definizione obiettivi,Analisi Target,Analisi Competitor Avanzata,Audit Materiali,Analisi Mercato,Call To Action,Definizione pagine,Analisi competitor avanzata,Checkout,Catalogo,,Form,,Definizione obiettivi,Analisi target avanzata,Analisi Mercato,Produzione,,Shot List,Storyboard,Produzione,,Shot List,Storyboard,Produzione,,Shot List,Storyboard,Produzione,,Shot List,Storyboard,,Scaletta episodio,Scenografia,Definizione target,Analisi audience,Brand Identity personale,,,,Analisi sponsor,Analisi sponsor,,Definizione pubblico,Piano release,Piano collaborazioni
Raccolta reference,Posizionamento Base,Analisi Mercato,Audit Social,Analisi Target,,,Customer Journey,,Categorie,Catalogo,,Funnel,Definizione target,,Customer Journey,1 operatore video,Produzione,Storyboard (se necessario),Location Scouting,1 operatore video,Produzione,Storyboard (se necessario),Location Scouting,1 operatore video,Produzione,Storyboard (se necessario),Location Scouting,1 operatore video,Produzione,Storyboard (se necessario),Location Scouting,Produzione,,Grafiche personalizzate,,,,Strategia,Strategia,Strategia,,,Strategia,,,
,,Analisi Target,Audit Website,Analisi Percezione,Infrastruttura,Struttura,,Infrastruttura,Filtri,Catalogo avanzato,Marketing,Landing,,Strategia,Posizionamento,Riprese monocamera,2 operatori video,,Sopralluogo tecnico,Riprese monocamera,2 operatori video,,Sopralluogo tecnico,Riprese monocamera,2 operatori video,,Sopralluogo tecnico,Riprese monocamera,2 operatori video,,Sopralluogo tecnico,Studio Podcast,Produzione,Scaletta stagione,Strategia,Strategia,Strategia,Posizionamento personale,Strategia contenuti,Strategia Annuale,Strategia,Strategia,Piano comunicazione annuale,Strategia,Strategia,Direzione Artistica
IDENTITÀ,IDENTITÀ,Buyer Personas,Audit Packaging,Nuovo Posizionamento,Dominio,Sito multipagina,UX / UI,Dominio,Tag,Filtri avanzati,Newsletter,Thank You Page,Strategia,Piano editoriale completo,,Copertura evento,Riprese multicamera,Produzione,Pianificazione completa,,Riprese multicamera,Produzione,Pianificazione completa,,Riprese multicamera,Produzione,Pianificazione completa,,Riprese multicamera,Produzione,Pianificazione completa,Multicamera (2 camere),Studio Podcast,,Posizionamento personale,Strategia contenuti,Strategia Annuale,Tone of Voice,Content Pillars,Piano Media,Piano comunicazione base,Strategia stagione,Strategia sponsor,Direzione immagine,Direzione Artistica,Supervisione creativa
Naming (se necessario),Logo System completo,Customer Journey,Audit Merchandising,Nuova Strategia,Hosting,Blog,Wireframe,Hosting,Varianti,Ricerca intelligente,Pixel Meta,Upsell,Piano editoriale base,Strategia contenuti,Strategia,,Copertura completa evento,2 operatori video,,Post-Produzione,Interviste,2 operatori video,,Post-Produzione,Interviste,2 operatori video,,Post-Produzione,Interviste,2 operatori video,,Registrazione audio,Multicamera (3 camere),Produzione,Tone of Voice,Content Pillars,Piano Media,Piano editoriale base,Storytelling personale,Piano Collaborazioni,Calendario stagione,Piano sponsor,Piano merchandising,Moodboard,Concept visuale,Concept album
Logo principale,Varianti complete,SWOT Analysis,,Nuovo Tone of Voice,Certificato SSL,FAQ,User Experience,SSL,,,Google Analytics,Downsell,Rubriche,Content Pillars,Strategia Annuale,Post-Produzione,Interviste,Riprese multicamera,Produzione,Montaggio professionale,Backstage,Riprese multicamera,Produzione,Montaggio professionale,Backstage,Riprese multicamera,Produzione,Montaggio professionale,Backstage,Riprese multicamera,Produzione,Registrazione video,Illuminotecnica professionale,Studio Podcast Premium,Piano editoriale base,Storytelling personale,Piano Collaborazioni,Calendario pubblicazioni,Piano crescita,Piano PR,Tone of Voice,Piano contenuti,,Visual Identity base,Strategia immagine,Concept videoclip
